,version,année,kilométrage,prix,telephone,pro/part,prix Argus,> argus ?
1 Zoe Intens,intens,2013,29500,7950,,particulier,9103.0,False
3 Renault zoe life 5p 27.500 km 11/2013,life,2013,27500,8000,,particulier,9429.0,False
4 Renault zoe,zen,2013,55300,8000,,particulier,10476.5,False
5 Renault ZOE Intens Blanc Nacré,intens,2013,24000,10300,,particulier,9103.0,True
6 Renault zoé intens toutes options 88cv,intens,2014,49000,8990,,particulier,10635.0,False
7 Renault Zoe,zen,2013,19000,9300,,particulier,10476.5,False
8 Renault Zoe Intens type 2 2015 20000 km,intens,2015,20000,10450,,particulier,12625.0,False
9 Renault Zoe 2017 intens Batterie comprise,intens,2017,200,29900,,particulier,16275.0,True
10 Nouvelle ZOE Zen,zen,2017,7400,16800,,particulier,15037.0,True
11 Vehicule Renault Zoe Zen Modèle 2017,,2017,17800,15000,,particulier,15037.0,False
12 ZOE Renault 2015,intens,2015,6000,10990,,particulier,12625.0,False
13 Renault ZOE Intens - Garantie RENAULT - 1ère main,,2015,65000,10500,,particulier,12240.5,False
14 Renault Zoe LIFE CHARGE RAPIDE,life,2013,70896,6790,,professionnel,9429.0,False
15 Renault Zoe Zen,zen,2013,41954,8990,,professionnel,10476.5,False
16 Renault Zoe Life charge normale Type 2,life,2016,6667,10890,,professionnel,13336.0,False
17 Renault Zoe Life charge normale Type 2,life,2015,17940,9900,,professionnel,10973.5,False
18 Superbe renault zoe zen charge rapide 1ere main,zen,2013,17900,9490,,professionnel,10476.5,False
19 Renault Zoe LIFE,life,2015,7248,10690,,professionnel,10973.5,False
20 Renault Zoe Intens,intens,2013,66951,7990,,professionnel,9103.0,False
21 Renault Zoe ZEN,zen,2015,3100,11590,,professionnel,12240.5,False
22 Renault Zoe INTENS,intens,2015,40095,10700,,professionnel,12625.0,False
23 Renault Zoe ZEN CHARGE RAPIDE,zen,2013,81404,8700,,professionnel,10476.5,False
24 Renault Zoe INTENS CHARGE RAPIDE,intens,2014,18815,10900,,professionnel,10635.0,True
25 Renault Zoe INTENS CHARGE RAPIDE,intens,2015,10014,11090,,professionnel,12625.0,False
26 Renault Zoe Intens Gamme 2017,intens,2017,1,17790,,professionnel,16275.0,True
27 Renault Zoe ZEN,zen,2014,8184,10990,,professionnel,10409.0,True
28 Renault Zoe Intens Gamme 2017,intens,2017,1,17790,,professionnel,16275.0,True
29 Renault Zoe Intens Gamme 2017,intens,2017,1,17490,,professionnel,16275.0,True
30 Renault Zoe Intens Gamme 2017,intens,2017,1,17790,,professionnel,16275.0,True
31 Renault Zoe Intens Gamme 2017,intens,2017,1,17790,,professionnel,16275.0,True
32 Renault Zoe Intens Gamme 2017,intens,2017,1,17790,,professionnel,16275.0,True
33 Renault Zoe Intens Gamme 2017,intens,2017,1,17490,,professionnel,16275.0,True
34 Renault Zoe Intens Gamme 2017,intens,2017,1,17790,,professionnel,16275.0,True
35 Renault Zoe Intens Gamme 2017,intens,2017,1,17790,,professionnel,16275.0,True
36 Renault Zoe ZEN,zen,2013,19186,8790,,professionnel,10476.5,False
37 Renault Zoe Intens Gamme 2017,intens,2017,1,17790,,professionnel,16275.0,True
38 Renault Zoe Intens Gamme 2017,intens,2017,1,17790,,professionnel,16275.0,True
39 Renault Zoe Intens Gamme 2017,intens,2017,1,17790,,professionnel,16275.0,True
40 Renault Zoe INTENS,intens,2015,19756,11990,,professionnel,12625.0,False
41 Renault Zoe INTENS CHARGE RAPIDE,intens,2013,46228,9500,,professionnel,9103.0,True
42 Renault Zoe Intens Gamme 2017,intens,2017,100,25800,,professionnel,16275.0,True
